p1,p2,ptype,fid1,fid2,tags,set,nsamples,pp,new_type,old_tags,label
F0957/MID1,F0957/MID4,fs,F0957,F0957,909,0,18,F0957.MID1.MID4,,fs,0
F0033/MID6,F0033/MID1,ms,F0033,F0033,28,0,7,F0033.MID6.MID1,,ms,2
F0998/MID4,F0998/MID2,ms,F0998,F0998,950,0,25,F0998.MID4.MID2,,ms,2
F0602/MID4,F0602/MID5,md,F0602,F0602,566,0,42,F0602.MID4.MID5,,md,3
F1007/MID1,F1007/MID5,fs,F1007,F1007,958,0,40,F1007.MID1.MID5,,fs,0
F0896/MID1,F0896/MID5,fs,F0896,F0896,849,0,8,F0896.MID1.MID5,,fs,0
F0117/MID1,F0117/MID4,fd,F0117,F0117,109,0,96,F0117.MID1.MID4,,fd,1
F0985/MID1,F0985/MID3,fd,F0985,F0985,937,0,10,F0985.MID1.MID3,,fd,1
F0153/MID1,F0153/MID4,ms,F0153,F0153,144,0,12,F0153.MID1.MID4,,ms,2
F0043/MID1,F0043/MID4,ms,F0043,F0043,38,0,45,F0043.MID1.MID4,,ms,2
F0645/MID4,F0645/MID6,fs,F0645,F0645,606,0,3,F0645.MID4.MID6,,fs,0
F0974/MID7,F0974/MID6,ms,F0974,F0974,926,0,2,F0974.MID7.MID6,,ms,2
F0460/MID1,F0460/MID4,fs,F0460,F0460,432,0,35,F0460.MID1.MID4,,fs,0
F0795/MID3,F0795/MID1,fs,F0795,F0795,749,0,60,F0795.MID3.MID1,,fs,0
F0842/MID1,F0842/MID2,fd,F0842,F0842,796,0,40,F0842.MID1.MID2,,fd,1
F0685/MID3,F0685/MID5,fd,F0685,F0685,645,0,80,F0685.MID3.MID5,,fd,1
F0963/MID3,F0963/MID2,fs,F0963,F0963,915,0,12,F0963.MID3.MID2,,fs,0
F0992/MID7,F0992/MID9,md,F0992,F0992,944,0,20,F0992.MID7.MID9,,md,3
F0703/MID2,F0703/MID7,ms,F0703,F0703,662,0,3,F0703.MID2.MID7,,ms,2
F0622/MID3,F0622/MID6,md,F0622,F0622,584,0,12,F0622.MID3.MID6,,md,3
F0016/MID2,F0016/MID4,fd,F0016,F0016,14,0,4,F0016.MID2.MID4,,fd,1
F0690/MID1,F0690/MID7,fs,F0690,F0690,650,0,7,F0690.MID1.MID7,,fs,0
F0969/MID2,F0969/MID3,ms,F0969,F0969,921,0,12,F0969.MID2.MID3,,ms,2
F0401/MID4,F0401/MID8,ms,F0401,F0401,373,0,9,F0401.MID4.MID8,,ms,2
F0249/MID1,F0249/MID5,fs,F0249,F0249,234,0,65,F0249.MID1.MID5,,fs,0
F0257/MID5,F0257/MID3,fd,F0257,F0257,242,0,2,F0257.MID5.MID3,,fd,1
F0486/MID2,F0486/MID1,md,F0486,F0486,455,0,60,F0486.MID2.MID1,,md,3
F0067/MID1,F0067/MID4,fs,F0067,F0067,60,0,98,F0067.MID1.MID4,,fs,0
F0141/MID1,F0141/MID3,fd,F0141,F0141,132,0,24,F0141.MID1.MID3,,fd,1
